AL FL 6
AL GA 9
AL MS 1
AL TN 9
AR LA 2
AR MO 0
AR MS 9
AR OK 3
AR TN 5
AR TX 1
AZ CA 7
AZ NM 1
AZ NV 6
AZ UT 8
CA NV 6
CA OR 9
CO KS 1
CO NE 1
CO NM 10
CO OK 6
CO UT 1
CO WY 9
CT MA 4
CT NY 6
CT RI 7
DC MD 3
DC VA 3
DE MD 2
DE NJ 5
DE PA 7
FL GA 4
GA NC 8
GA SC 8
GA TN 3
IA IL 1
IA MN 8
IA MO 6
IA NE 9
IA SD 0
IA WI 7
ID MT 1
ID NV 3
ID OR 3
ID UT 1
ID WA 9
ID WY 0
IL IN 5
IL KY 3
IL MO 9
IL WI 10
IN KY 7
IN MI 4
IN OH 6
KS MO 10
KS NE 6
KS OK 3
KY MO 4
KY OH 6
KY TN 6
KY VA 1
KY WV 6
LA MS 9
LA TX 8
MA NH 1
MA NY 8
MA RI 4
MA VT 4
MD PA 9
MD VA 10
MD WV 10
ME NH 0
MI OH 2
MI WI 4
MN ND 7
MN SD 3
MN WI 1
MO NE 3
MO OK 3
MO TN 1
MS TN 0
MT ND 3
MT SD 2
MT WY 6
NC SC 5
NC TN 1
NC VA 1
ND SD 3
NE SD 7
NE WY 7
NH VT 6
NJ NY 2
NJ PA 5
NM OK 8
NM TX 1
NV OR 7
NV UT 3
NY PA 7
NY VT 5
OH PA 2
OH WV 10
OK TX 5
OR WA 7
PA WV 0
SD WY 6
TN VA 1
UT WY 9
VA WV 3
